Tahun,Wilayah,Aktor,Jenis_Konflik,Deskripsi
2019,Jawa Barat,Ormas,Intoleransi,Pelarangan pendirian rumah ibadah
2019,Jawa Timur,Pemerintah,Regulasi Diskriminatif,Peraturan daerah yang membatasi kegiatan keagamaan
2020,DKI Jakarta,Ormas,Kekerasan,Fasilitas ibadah diserang oleh kelompok intoleran
2020,Jawa Tengah,Masyarakat,Intoleransi,Penolakan pembangunan rumah ibadah
2021,Sumatera Utara,Pemerintah,Regulasi Diskriminatif,Penolakan izin operasional sekolah berbasis agama tertentu
2021,NTB,Ormas,Kekerasan,Pengusiran kelompok minoritas agama
2022,Jawa Barat,Masyarakat,Intoleransi,Penolakan acara keagamaan oleh warga sekitar
2022,Papua,Pemerintah,Regulasi Diskriminatif,Kebijakan diskriminatif terhadap guru agama
2023,Banten,Ormas,Kekerasan,Penyerangan komunitas agama minoritas
2023,Kalimantan Barat,Masyarakat,Intoleransi,Konflik antar warga terkait ritual adat
